Années;Mois;Provenance demandeur;Centre administratif;Hôtel de Ville;Robertsau;Esplanade;Gare;Cronenbourg;Hautepierre;Koenigshoffen;Montagne Verte;Meinau;Anvers;Neuhof;Elsau
2011;Janvier;Strasbourg;426;203;87;21;16;83;133;77;20;48;125;55;23
2011;Janvier;CUS hors Strasbourg;34;10;4;0;3;27;3;7;0;5;1;0;0
2011;Janvier;hors CUS;62;22;3;2;2;3;11;1;0;1;4;1;0
2011;Février;Strasbourg;452;216;93;26;26;80;121;73;23;52;110;60;18
2011;Février;CUS hors Strasbourg;37;9;2;0;0;13;1;8;0;5;0;1;0
2011;Février;hors CUS;84;42;2;2;5;0;2;3;0;0;2;1;0
2011;Mars;Strasbourg;523;238;101;37;22;125;173;126;43;82;147;66;24
2011;Mars;CUS hors Strasbourg;43;8;2;2;1;15;2;7;0;8;5;7;0
2011;Mars;hors CUS;94;33;8;6;0;3;3;1;0;0;9;0;0
2011;Avril;Strasbourg;467;116;106;41;43;117;177;104;23;64;149;71;51
2011;Avril;CUS hors Strasbourg;37;3;5;0;0;15;6;7;0;0;1;1;0
2011;Avril;hors CUS;89;9;3;1;5;4;9;6;0;0;1;1;0
2011;Mai;Strasbourg;483;258;89;48;26;120;200;109;35;85;117;111;27
2011;Mai;CUS hors Strasbourg;34;14;6;1;0;16;13;13;4;6;5;5;0
2011;Mai;hors CUS;84;19;4;4;1;3;3;6;0;3;5;2;0
2011;Juin;Strasbourg;452;202;85;40;18;93;114;104;21;68;120;80;28
2011;Juin;CUS hors Strasbourg;49;12;6;0;0;12;4;8;2;10;5;1;0
2011;Juin;hors CUS;91;28;4;0;0;1;2;3;0;5;4;2;0
2011;Juillet;Strasbourg;429;131;60;16;27;37;81;48;17;28;104;39;11
2011;Juillet;CUS hors Strasbourg;52;21;2;0;0;2;3;1;0;1;2;0;0
2011;Juillet;hors CUS;73;16;5;0;0;1;1;1;0;0;4;1;0
2011;Août;Strasbourg;380;145;48;16;22;33;67;61;15;21;98;22;12
2011;Août;CUS hors Strasbourg;31;4;0;0;0;5;3;2;0;1;3;0;0
2011;Août;hors CUS;70;10;1;4;1;3;0;0;0;0;2;0;0
2011;Septembre;Strasbourg;342;166;92;27;28;59;79;78;21;51;123;49;7
2011;Septembre;CUS hors Strasbourg;50;9;1;0;1;15;13;4;1;0;0;0;0
2011;Septembre;hors CUS;68;28;0;1;1;6;5;5;2;1;2;2;0
2011;Octobre;Strasbourg;319;158;68;19;16;44;63;55;17;37;88;47;12
2011;Octobre;CUS hors Strasbourg;20;7;2;1;0;12;7;3;0;1;0;0;0
2011;Octobre;hors CUS;66;25;0;3;0;8;2;7;0;0;5;1;0
2011;Novembre;Strasbourg;293;163;88;35;20;48;70;62;14;53;85;41;11
2011;Novembre;CUS hors Strasbourg;30;5;0;0;0;10;2;5;2;1;0;2;0
2011;Novembre;hors CUS;72;13;2;4;6;10;3;1;0;1;5;1;0
2011;Décembre;Strasbourg;341;169;84;23;30;59;96;59;19;60;87;39;19
2011;Décembre;CUS hors Strasbourg;32;13;2;1;0;17;6;11;0;1;3;2;0
2011;Décembre;hors CUS;63;16;2;1;2;11;3;5;1;2;8;0;0
2012;Janvier;Strasbourg;426;213;97;39;28;74;116;74;22;61;128;56;22
2012;Janvier;CUS hors Strasbourg;43;19;1;;1;10;9;5;1;1;1;;0
2012;Janvier;hors CUS;104;38;1;3;3;11;2;7;0;0;10;0;0
2012;Février;Strasbourg;458;203;118;33;19;75;104;93;13;91;146;64;29
2012;Février;CUS hors Strasbourg;43;4;5;;;14;4;19;1;2;1;;0
2012;Février;hors CUS;117;30;1;5;4;9;2;4;0;2;12;3;0
2012;Mars;Strasbourg;540;312;145;37;29;121;156;113;36;86;203;95;20
2012;Mars;CUS hors Strasbourg;50;10;3;;;28;5;31;3;9;;4;0
2012;Mars;hors CUS;113;51;4;2;6;4;8;6;0;3;20;2;0
2012;Avril;Strasbourg;545;247;120;37;34;125;150;106;39;86;173;79;42
2012;Avril;CUS hors Strasbourg;50;13;3;;2;22;14;15;1;4;3;;0
2012;Avril;hors CUS;82;31;6;5;3;7;6;5;0;0;5;0;0
2012;Mai;Strasbourg;572;218;164;39;33;140;217;129;39;105;166;86;46
2012;Mai;CUS hors Strasbourg;65;11;7;;1;15;21;14;;6;1;;0
2012;Mai;hors CUS;108;28;4;2;3;15;12;1;1;5;8;3;0
2012;Juin;Strasbourg;531;247;132;34;31;131;168;129;27;90;168;82;31
2012;Juin;CUS hors Strasbourg;81;22;13;;;18;23;16;1;5;3;;0
2012;Juin;hors CUS;133;28;10;4;0;4;12;5;0;11;8;0;0
2012;Juillet;Strasbourg;494;194;72;20;16;64;93;62;30;48;131;53;13
2012;Juillet;CUS hors Strasbourg;65;7;6;;2;9;15;11;1;1;2;;0
2012;Juillet;hors CUS;112;27;7;0;4;2;2;0;5;1;4;2;0
2012;Août;Strasbourg;395;113;51;21;21;57;75;58;24;43;98;32;17
2012;Août;CUS hors Strasbourg;45;8;13;;;25;12;8;;;6;;0
2012;Août;hors CUS;70;22;3;1;1;5;6;5;0;0;3;0;0
2012;Septembre;Strasbourg;335;190;66;17;20;59;75;77;15;44;102;41;11
2012;Septembre;CUS hors Strasbourg;35;10;18;;;12;11;10;;7;1;1;0
2012;Septembre;hors CUS;59;23;10;2;0;1;7;4;0;1;5;0;0
2012;Octobre;Strasbourg;343;154;62;14;18;76;71;51;10;36;121;49;10
2012;Octobre;CUS hors Strasbourg;26;15;20;1;;16;9;4;;3;1;2;0
2012;Octobre;hors CUS;71;31;4;3;2;8;6;1;0;4;7;0;0
2012;Novembre;Strasbourg;355;178;81;10;14;41;67;56;6;36;115;43;3
2012;Novembre;CUS hors Strasbourg;29;15;18;1;;5;9;7;;2;2;;0
2012;Novembre;hors CUS;72;27;3;1;1;1;5;1;0;1;7;0;0
2012;Décembre;Strasbourg;321;160;65;10;9;32;39;45;14;34;89;18;6
2012;Décembre;CUS hors Strasbourg;42;12;15;1;;8;7;5;;1;4;1;0
2012;Décembre;hors CUS;80;18;3;0;3;3;2;1;0;0;6;0;0
2013;Janvier;Strasbourg;526;280;149;39;33;90;107;107;9;63;209;66;23
2013;Janvier;CUS hors Strasbourg;52;20;36;;1;41;8;21;1;3;3;;
2013;Janvier;hors CUS;107;29;14;3;6;9;4;9;;1;5;2;
2013;Février;Strasbourg;458;280;133;35;38;92;121;75;34;94;181;67;25
2013;Février;CUS hors Strasbourg;63;17;15;1;1;38;11;10;;9;3;;
2013;Février;hors CUS;82;33;8;4;1;8;1;6;3;2;9;3;2
2013;Mars;Strasbourg;559;259;139;53;28;108;167;94;26;76;166;89;31
2013;Mars;CUS hors Strasbourg;71;20;20;1;0;20;22;9;0;5;1;3;0
2013;Mars;hors CUS;116;59;10;7;7;6;6;4;0;3;22;2;1
2013;Avril;Strasbourg;602;271;152;32;30;146;193;108;33;67;172;88;25
2013;Avril;CUS hors Strasbourg;72;7;23;1;;27;8;4;;9;5;8;
2013;Avril;hors CUS;100;40;12;3;5;6;10;1;;4;14;1;
2013;Mai;Strasbourg;633;324;134;35;20;126;177;141;28;81;174;92;29
2013;Mai;CUS hors Strasbourg;83;28;17;3;0;21;13;22;1;11;3;1;1
2013;Mai;hors CUS;139;33;7;1;7;2;6;5;0;2;9;1;1
2013;Juin;Strasbourg;597;297;172;41;34;114;229;156;38;97;177;124;45
2013;Juin;CUS hors Strasbourg;91;12;15;0;0;28;21;9;1;11;3;6;0
2013;Juin;hors CUS;120;44;10;1;4;1;7;10;1;2;7;5;1
2013;Juillet;Strasbourg;599;215;116;36;32;112;182;104;25;78;114;91;23
2013;Juillet;CUS hors Strasbourg;114;15;10;0;3;16;16;18;5;11;1;2;1
2013;Juillet;hors CUS;137;29;8;1;1;2;5;2;0;4;13;1;0
2013;Août;Strasbourg;435;163;84;19;7;48;72;55;14;25;83;43;15
2013;Août;CUS hors Strasbourg;49;6;4;0;1;6;4;1;0;1;1;0;1
2013;Août;hors CUS;87;19;5;1;3;2;1;2;0;0;1;0;0;
2013;Septembre;Strasbourg;386;209;102;21;13;70;57;55;16;67;120;31;13;
2013;Septembre;CUS hors Strasbourg;58;10;6;2;1;14;6;8;0;0;1;0;0;
2013;Septembre;hors CUS;66;27;8;1;2;3;4;2;0;4;7;0;0;
2013;Octobre;Strasbourg;392;198;99;23;27;52;61;53;24;37;144;26;6;
2013;Octobre;CUS hors Strasbourg;44;12;6;1;1;6;16;8;3;0;1;0;0;
2013;Octobre;hors CUS;71;28;1;1;3;1;0;2;1;3;4;0;1;
2013;Novembre;Strasbourg;291;177;107;20;26;56;51;46;12;49;106;37;2;
2013;Novembre;CUS hors Strasbourg;27;7;1;1;1;9;4;5;0;7;2;1;0;
2013;Novembre;hors CUS;74;22;5;1;1;5;8;2;0;0;4;0;0;
2013;Décembre;Strasbourg;318;144;85;20;11;34;49;56;8;45;110;29;8;
2013;Décembre;CUS hors Strasbourg;39;5;2;0;1;21;5;13;0;2;0;1;0;
2013;Décembre;hors CUS;80;18;1;0;2;2;1;3;0;0;6;2;0;
2014;Janvier;Strasbourg;537;287;135;30;35;104;133;97;19;71;182;77;18;
2014;Janvier;CUS hors Strasbourg;60;17;4;2;1;28;17;13;3;4;1;2;0;
2014;Janvier;hors CUS;122;38;4;2;1;5;5;7;0;3;6;5;0;
2014;Février;Strasbourg;486;234;111;35;31;79;141;95;22;93;151;74;9
2014;Février;CUS hors Strasbourg;60;13;3;1;0;9;11;11;0;6;0;1;0
2014;Février;hors CUS;104;27;5;10;7;16;6;7;0;0;11;2;0
2014;Mars;Strasbourg;596;263;124;22;25;119;170;99;24;63;209;91;25
2014;Mars;CUS hors Strasbourg;70;19;7;1;0;19;22;14;0;4;1;1;0
2014;Mars;hors CUS;125;33;6;3;1;10;9;5;0;12;13;4;1
2014;Avril;Strasbourg;612;219;136;32;41;81;183;112;39;83;177;79;35
2014;Avril;CUS hors Strasbourg;59;19;2;2;1;11;11;15;0;3;4;2;0
2014;Avril;hors CUS;85;38;11;1;7;3;6;6;2;2;13;3;0
2014;Mai;Strasbourg;566;287;150;37;21;156;169;170;33;69;209;93;39
2014;Mai;CUS hors Strasbourg;79;17;2;0;3;21;22;16;1;5;5;2;0
2014;Mai;hors CUS;113;31;9;4;1;4;12;10;1;3;9;4;0
2014;Juin;Strasbourg;616;237;154;36;21;100;164;132;31;67;215;120;26
2014;Mai;CUS hors Strasbourg;76;17;5;1;0;14;5;12;3;10;4;3;2
2014;Juin;hors CUS;104;12;5;2;1;5;5;4;0;1;5;3;0
2014;Juillet;Strasbourg;576;204;106;14;46;65;155;105;31;50;96;72;10
2014;Juillet;CUS hors Strasbourg;65;14;7;2;0;16;16;15;2;1;3;1;3
